OEM_GROUP,BRAND,PROPULSION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4
VW Group,Audi,BEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.0,26958.0,51618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,929.0,2641.0,6018.0,6850.0,11449.0,11065.0,7891.0,15108.0,17554.0
VW Group,Audi,HEV,91.0,228.0,659.0,1134.0,534.0,407.0,37.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,5.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VW Group,Audi,MHEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3962.0,129455.0,464736.0,475106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3924.0,15242.0,20553.0,32388.0,61272.0,74935.0,102276.0,124227.0,163298.0,114676.0,117422.0,121559.0,121449.0
VW Group,Audi,PHEV,0.0,0.0,0.0,0.0,705.0,12318.0,15191.0,15633.0,14452.0,6975.0,56749.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,455.0,1964.0,3143.0,3353.0,3858.0,3113.0,2657.0,3405.0,6016.0,3913.0,4458.0,4068.0,3194.0,2718.0,4434.0,4986.0,2314.0,1026.0,1045.0,1407.0,3497.0,7478.0,8335.0,17266.0,23670.0
VW Group,Bentley,MHEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,2.0,1.0
VW Group,Bentley,PHEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,140.0,118.0,47.0,47.0,26.0
VW Group,MAN,BEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,147.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,39.0,48.0,29.0,31.0,98.0,54.0,102.0,222.0
VW Group,Porsche,BEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,19672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,302.0,1424.0,2980.0,6463.0,8805.0
VW Group,Porsche,HEV,528.0,1925.0,1844.0,709.0,651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VW Group,Porsche,MHEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
VW Group,Porsche,PHEV,0.0,0.0,0.0,272.0,2287.0,6932.0,9468.0,11639.0,15990.0,17214.0,24644.0,0.0,0.0,16.0,256.0,485.0,563.0,428.0,811.0,1529.0,1765.0,1706.0,1932.0,2460.0,2684.0,1929.0,2395.0,2098.0,3091.0,3536.0,2914.0,3562.0,3823.0,5811.0,2794.0,1966.0,2723.0,3715.0,8810.0,5190.0,4579.0,7456.0,7419.0
VW Group,Seat,BEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,7122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,1481.0,764.0,1904.0,2973.0
VW Group,Seat,MHEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,3021.0,3275.0
VW Group,Seat,PHEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,4.0,34.0,7347.0
VW Group,Skoda,BEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,14157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,3059.0,1564.0,4225.0,5309.0
VW Group,Skoda,MHEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,965.0
VW Group,Skoda,PHEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,19449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,80.0,3106.0,2219.0,4440.0,9684.0
VW Group,Sol,BEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4734.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857.0,2238.0,1639.0,90.0,53.0,37.0,161.0
VW Group,VW,BEV,0.0,0.0,0.0,1495.0,9001.0,18344.0,13206.0,20118.0,26640.0,47204.0,136743.0,0.0,0.0,0.0,1495.0,1299.0,2060.0,2769.0,2873.0,4646.0,4647.0,4285.0,4766.0,3445.0,3302.0,3290.0,3169.0,2642.0,4541.0,5873.0,7062.0,6773.0,5486.0,4804.0,9577.0,8496.0,8889.0,12395.0,17419.0,16727.0,19045.0,29060.0,71906.0
VW Group,VW,HEV,53.0,458.0,416.0,6047.0,2217.0,842.0,751.0,71.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,157.0,298.0,150.0,35.0,24.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VW Group,VW,MHEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.0,2469.0,8446.0,11409.0
VW Group,VW,PHEV,0.0,0.0,0.0,0.0,769.0,21891.0,25518.0,22836.0,25130.0,38112.0,85743.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,673.0,2468.0,4485.0,4449.0,10489.0,4598.0,5865.0,6271.0,8784.0,4341.0,5141.0,5990.0,7364.0,6403.0,6996.0,6053.0,5678.0,8703.0,13532.0,4378.0,11499.0,10253.0,16333.0,22036.0,37121.0
